Time,HIGH,LOW,LAST,FIRST
2014/12/01 00:00:00.000,0.84577,0.84367,0.84445,0.8442
2014/12/01 01:00:00.000,0.8451,0.84187,0.84366,0.84448
2014/12/01 02:00:00.000,0.84548,0.84347,0.84542,0.84364
2014/12/01 03:00:00.000,0.84547,0.84357,0.84461,0.84541
2014/12/01 04:00:00.000,0.84589,0.84457,0.8453,0.84462
2014/12/01 05:00:00.000,0.84594,0.84372,0.84389,0.84529
2014/12/01 06:00:00.000,0.84457,0.84302,0.84423,0.84387
2014/12/01 07:00:00.000,0.84539,0.84278,0.84441,0.84424
2014/12/01 08:00:00.000,0.84993,0.84432,0.8466,0.8444
2014/12/01 09:00:00.000,0.84895,0.84613,0.8484,0.84661
2014/12/01 10:00:00.000,0.85008,0.84783,0.84879,0.84837
2014/12/01 11:00:00.000,0.84924,0.84786,0.84826,0.84878
2014/12/01 12:00:00.000,0.84933,0.84797,0.84921,0.84828
2014/12/01 13:00:00.000,0.85154,0.84914,0.8505,0.84922
2014/12/01 14:00:00.000,0.85291,0.85051,0.8525,0.85051
2014/12/01 15:00:00.000,0.85279,0.8482,0.8494,0.85253
2014/12/01 16:00:00.000,0.85212,0.8484,0.85212,0.84938
2014/12/01 17:00:00.000,0.85332,0.8517,0.85246,0.85214
2014/12/01 18:00:00.000,0.85263,0.85163,0.8517,0.85244
2014/12/01 19:00:00.000,0.85185,0.85093,0.85124,0.85169
2014/12/01 20:00:00.000,0.85123,0.85029,0.85035,0.85123
2014/12/01 21:00:00.000,0.85073,0.84908,0.84976,0.85033
2014/12/01 22:00:00.000,0.85044,0.84923,0.84959,0.84972
2014/12/01 23:00:00.000,0.85054,0.84765,0.84802,0.84957
2014/12/02 00:00:00.000,0.84577,0.84367,0.84445,0.8442
2014/12/02 01:00:00.000,0.8451,0.84187,0.84366,0.84448
2014/12/02 02:00:00.000,0.84548,0.84347,0.84542,0.84364
2014/12/02 03:00:00.000,0.84547,0.84357,0.84461,0.84541
2014/12/02 04:00:00.000,0.84589,0.84457,0.8453,0.84462
2014/12/02 05:00:00.000,0.84594,0.84372,0.84389,0.84529
2014/12/02 06:00:00.000,0.84457,0.84302,0.84423,0.84387
2014/12/02 07:00:00.000,0.84539,0.84278,0.84441,0.84424
2014/12/02 08:00:00.000,0.84993,0.84432,0.8466,0.8444
2014/12/02 09:00:00.000,0.84895,0.84613,0.8484,0.84661
2014/12/02 10:00:00.000,0.85008,0.84783,0.84879,0.84837
2014/12/02 11:00:00.000,0.84924,0.84786,0.84826,0.84878
2014/12/02 12:00:00.000,0.84933,0.84797,0.84921,0.84828
2014/12/02 13:00:00.000,0.85154,0.84914,0.8505,0.84922
2014/12/02 14:00:00.000,0.85291,0.85051,0.8525,0.85051
2014/12/02 15:00:00.000,0.85279,0.8482,0.8494,0.85253
2014/12/02 16:00:00.000,0.85212,0.8484,0.85212,0.84938
2014/12/02 17:00:00.000,0.85332,0.8517,0.85246,0.85214
2014/12/02 18:00:00.000,0.85263,0.85163,0.8517,0.85244
2014/12/02 19:00:00.000,0.85185,0.85093,0.85124,0.85169
2014/12/02 20:00:00.000,0.85123,0.85029,0.85035,0.85123
2014/12/02 21:00:00.000,0.85073,0.84908,0.84976,0.85033
2014/12/02 22:00:00.000,0.85044,0.84923,0.84959,0.84972
2014/12/02 23:00:00.000,0.85054,0.84765,0.84802,0.84957
2014/12/03 00:00:00.000,0.84577,0.84367,0.84445,0.8442
2014/12/03 01:00:00.000,0.8451,0.84187,0.84366,0.84448
2014/12/03 02:00:00.000,0.84548,0.84347,0.84542,0.84364
2014/12/03 03:00:00.000,0.84547,0.84357,0.84461,0.84541
2014/12/03 04:00:00.000,0.84589,0.84457,0.8453,0.84462
2014/12/03 05:00:00.000,0.84594,0.84372,0.84389,0.84529
2014/12/03 06:00:00.000,0.84457,0.84302,0.84423,0.84387
2014/12/03 07:00:00.000,0.84539,0.84278,0.84441,0.84424
2014/12/03 08:00:00.000,0.84993,0.84432,0.8466,0.8444
2014/12/03 09:00:00.000,0.84895,0.84613,0.8484,0.84661
2014/12/03 10:00:00.000,0.85008,0.84783,0.84879,0.84837
2014/12/03 11:00:00.000,0.84924,0.84786,0.84826,0.84878
2014/12/03 12:00:00.000,0.84933,0.84797,0.84921,0.84828
2014/12/03 13:00:00.000,0.85154,0.84914,0.8505,0.84922
2014/12/03 14:00:00.000,0.85291,0.85051,0.8525,0.85051
2014/12/03 15:00:00.000,0.85279,0.8482,0.8494,0.85253
2014/12/03 16:00:00.000,0.85212,0.8484,0.85212,0.84938
2014/12/03 17:00:00.000,0.85332,0.8517,0.85246,0.85214
2014/12/03 18:00:00.000,0.85263,0.85163,0.8517,0.85244
2014/12/03 19:00:00.000,0.85185,0.85093,0.85124,0.85169
2014/12/03 20:00:00.000,0.85123,0.85029,0.85035,0.85123
2014/12/03 21:00:00.000,0.85073,0.84908,0.84976,0.85033
2014/12/03 22:00:00.000,0.85044,0.84923,0.84959,0.84972
2014/12/03 23:00:00.000,0.85054,0.84765,0.84802,0.84957
2014/12/04 00:00:00.000,0.84577,0.84367,0.84445,0.8442
2014/12/04 01:00:00.000,0.8451,0.84187,0.84366,0.84448
2014/12/04 02:00:00.000,0.84548,0.84347,0.84542,0.84364
2014/12/04 03:00:00.000,0.84547,0.84357,0.84461,0.84541
2014/12/04 04:00:00.000,0.84589,0.84457,0.8453,0.84462
2014/12/04 05:00:00.000,0.84594,0.84372,0.84389,0.84529
2014/12/04 06:00:00.000,0.84457,0.84302,0.84423,0.84387
2014/12/04 07:00:00.000,0.84539,0.84278,0.84441,0.84424
2014/12/04 08:00:00.000,0.84993,0.84432,0.8466,0.8444
2014/12/04 09:00:00.000,0.84895,0.84613,0.8484,0.84661
2014/12/04 10:00:00.000,0.85008,0.84783,0.84879,0.84837
2014/12/04 11:00:00.000,0.84924,0.84786,0.84826,0.84878
2014/12/04 12:00:00.000,0.84933,0.84797,0.84921,0.84828
2014/12/04 13:00:00.000,0.85154,0.84914,0.8505,0.84922
2014/12/04 14:00:00.000,0.85291,0.85051,0.8525,0.85051
2014/12/04 15:00:00.000,0.85279,0.8482,0.8494,0.85253
2014/12/04 16:00:00.000,0.85212,0.8484,0.85212,0.84938
2014/12/04 17:00:00.000,0.85332,0.8517,0.85246,0.85214
2014/12/04 18:00:00.000,0.85263,0.85163,0.8517,0.85244
2014/12/04 19:00:00.000,0.85185,0.85093,0.85124,0.85169
2014/12/04 20:00:00.000,0.85123,0.85029,0.85035,0.85123
2014/12/04 21:00:00.000,0.85073,0.84908,0.84976,0.85033
2014/12/04 22:00:00.000,0.85044,0.84923,0.84959,0.84972
2014/12/04 23:00:00.000,0.85054,0.84765,0.84802,0.84957
2014/12/05 00:00:00.000,0.84577,0.84367,0.84445,0.8442
2014/12/05 01:00:00.000,0.8451,0.84187,0.84366,0.84448
2014/12/05 02:00:00.000,0.84548,0.84347,0.84542,0.84364
2014/12/05 03:00:00.000,0.84547,0.84357,0.84461,0.84541
2014/12/05 04:00:00.000,0.84589,0.84457,0.8453,0.84462
2014/12/05 05:00:00.000,0.84594,0.84372,0.84389,0.84529
2014/12/05 06:00:00.000,0.84457,0.84302,0.84423,0.84387
2014/12/05 07:00:00.000,0.84539,0.84278,0.84441,0.84424
2014/12/05 08:00:00.000,0.84993,0.84432,0.8466,0.8444
